CustomerID,Age,MonthlyIncome,PurchaseFrequency,AveragePurchaseAmount,WebsiteVisits,PreferredCategory,Subscribed
1,23.0,1800.0,2,45,10,Electronics,Yes
2,35.0,2500.0,5,80,20,Clothing,Yes
3,42.0,3200.0,8,120,35,Electronics,No
4,29.0,2100.0,3,50,12,Books,No
5,51.0,4500.0,10,200,50,Home,Yes
6,38.0,3000.0,6,95,30,Clothing,Yes
7,,2800.0,4,70,25,electronics,No
8,27.0,1900.0,2,40,8,Books,No
9,45.0,3800.0,9,150,45,Electronics,Yes
10,33.0,2400.0,5,85,22,Home,Yes
11,62.0,5200.0,12,250,60,ELECTRONICS,YES
12,24.0,1700.0,1,30,5,Clothing,No
13,31.0,2300.0,3,55,15,Books,No
14,39.0,3100.0,7,100,28,Home,Yes
15,48.0,4200.0,11,220,55,Electronics,Yes
16,36.0,2900.0,6,90,32,Clothing,Yes
17,28.0,2000.0,2,35,9,Books,No
18,55.0,4800.0,10,180,48,Home,Yes
19,41.0,3500.0,8,130,40,Electronics,Yes
20,250.0,2700.0,4,65,18,Clothing,No
21,19.0,1600.0,1,25,6,Electronics ,yes
22,44.0,4000.0,9,160,42,clothing,NO
23,37.0,,5,75,24,BOOKS,No
24,26.0,2200.0,3,60,14,Home,YES
25,52.0,5100.0,12,210,65,Electronics,Yes
26,34.0,2800.0,7,105,33,Clothing,No
27,29.0,1950.0,4,50,17,Books,yes
28,47.0,3600.0,8,140,38,HOME,Yes
29,40.0,3300.0,6,115,29,Electronics,No
30,22.0,1850.0,2,40,7,Clothing,No
31,58.0,6000.0,15,300,80,Electronics,YES
32,31.0,2500.0,5,85,21,Books,Yes
33,43.0,4100.0,10,190,52,Home,No
34,36.0,2950.0,7,100,31,Electronics,yes
35,-5.0,2400.0,3,55,11,Clothing,No
36,25.0,2100.0,4,70,19,Books,Yes
37,49.0,4500.0,9,175,46,Home,No
38,32.0,-500.0,6,90,27,Electronics,YES
39,61.0,3900.0,11,230,-3,Clothing,No
40,27.0,2750.0,2,45,13,Books,No
41,46.0,3200.0,8,135,36,electronics,Yes
42,39.0,2600.0,5,80,23,Home,No
43,30.0,4700.0,3,65,16,Electronics,YES
44,54.0,2300.0,10,200,58,Clothing,yes
45,33.0,3500.0,7,110,34,Books,No
46,28.0,3000.0,4,50,12,Home,Yes
47,42.0,1800.0,9,155,44,Electronics,NO
48,35.0,5200.0,6,95,26,Clothing,Yes
49,50.0,3400.0,12,250,70,Electronics,YES
50,41.0,2900.0,5,70,20,Clothing,No
50,41.0,2900.0,5,70,20,Clothing,no
12,24.0,2500.0,1,35,4,Clothing,No
